id,claim,status,source_commit,source_file,source_key,dataset_year,statistical_family,value,caveat,manuscript_location
S5-04,Coalition projection of J at k=8 lowers AB/SEX recovery vs J at a residence cost.,"SUPPORTED (trade-off, not dominance)",a56bcc7ff7a122a6411ac3072b11b00b75f4cdad,results/pcrl_competitive_method_v1/INTERVALS_P.csv,E_J_C_k8-ref_J,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates; studentized Bonferroni, candidate-wide within family P (m=400, z=3.84)","AB/SEX -0.0091 [-0.0158,-0.0025] unw (signif. both weightings); residence loss +0.0101 [+0.0023,+0.0179] unw signif., +0.0085 [-0.0009,+0.0178] pw unresolved; residence gain 0.0114 vs 0.0215",Lower recovery with lower capability is a trade-off.,sec:study5
S5-05,E_J_C_k8 point estimates lie within 0.0011 of ordinary LEACE on J on every endpoint.,NARROWED (unweighted points only; not equivalence),a56bcc7ff7a122a6411ac3072b11b00b75f4cdad,results/pcrl_competitive_method_v1/INTERVALS_P.csv,E_J_C_k8-leace_J,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates; studentized Bonferroni, candidate-wide within family P (m=400, z=3.84)","max |diff| 0.0011 unweighted, 0.0020 person-weighted; residence [-0.0089,+0.0091]",No equivalence or noninferiority test; proximity is not statistical equivalence.,sec:study5; sec:withdrawn 4
S5-06,Coalition projection on J did not establish an advantage over matched local (L) or expanded-local (LX) projections.,NOT ESTABLISHED,a56bcc7ff7a122a6411ac3072b11b00b75f4cdad,results/pcrl_competitive_method_v1/INTERVALS_P.csv; INTERVALS_X.csv,"E_J_C_k{6,8} vs E_J_L/LX",ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates; studentized Bonferroni, candidate-wide within family P (m=400, z=3.84)","no candidate-wide difference in P; family X: C vs L 4/80 sensitive cells better (all A0 k=2 race), C vs LX 5/80 (4 A0 k=2 race + J k=1 A/SEX)",Nonsignificance is not equivalence.,sec:study5
S5-07,"Lowering the teacher coefficient improved A0-initialised training (race recovery); a coefficient change, not a new method.",SUPPORTED (exploratory family),a56bcc7ff7a122a6411ac3072b11b00b75f4cdad,results/pcrl_competitive_method_v1/POINTS_2018.csv; INTERVALS_X.csv,N_A0_g000_C1_b100 vs N_A0_g100_C1_b100; N_gamma_vs_1,ACS 2018 (development; pools used repeatedly),"same bootstrap; candidate-wide within exploratory family X (m=3900, z=4.36)","A/RAC1P +0.0201 -> +0.0038; AB/RAC1P +0.0182 -> +0.0078; 22 of 288 cells better, 1 worse",Every A0-initialised arm remains significantly worse than J on at least one endpoint.,sec:study5
S5-08,Neural coalition conditioning never beat the strength-matched local control L2.,SUPPORTED,a56bcc7ff7a122a6411ac3072b11b00b75f4cdad,results/pcrl_competitive_method_v1/INTERVALS_X.csv,N_C1_vs_L2; N_C1_vs_L1,ACS 2018 (development; pools used repeatedly),"same bootstrap; candidate-wide within exploratory family X (m=3900, z=4.36)",C1 vs L2: 0 of 128 sensitive cells; C1 vs L1: 21 of 128,Same pattern as Study 4.,sec:study5
S5-09,Coalition projection on A0 at k=2 lowers race recovery vs local and expanded-local projection.,EXPLORATORY (family X only; not nominated),a56bcc7ff7a122a6411ac3072b11b00b75f4cdad,results/pcrl_competitive_method_v1/INTERVALS_X.csv,"E_A0_C_k2 vs E_A0_L_k2, E_A0_LX_k2",ACS 2018 (development; pools used repeatedly),"same bootstrap; candidate-wide within exploratory family X (m=3900, z=4.36)","A/RAC1P -0.0202, -0.0182; AB/RAC1P -0.0253, -0.0217 (unw); significant both weightings in X; residence unresolved (-0.0018 [-0.0068,+0.0032] vs L)",Not in family P; absence of a significant residence difference is not preserved utility; A/RAC1P +0.0223 vs J +0.0000. The study decision summary calls it candidate-wide; that is within X.,sec:study5; sec:withdrawn 3
S5-10,"The prespecified stronger attack MLP[256,256,128] was weaker than the standard audit; no survival claim.",SUPPORTED (instrument uninformative),a56bcc7ff7a122a6411ac3072b11b00b75f4cdad,results/pcrl_competitive_method_v1/STRESS.json,conditions[*].stress vs standard_audit,ACS 2018 (development; pools used repeatedly),none (seed means; per-person stress losses not stored),below standard audit on both SEX endpoints for all 34 condition-weightings; A0 A/SEX -0.092 vs +0.032,Not re-tuned after outcome.,sec:study5
S5-11,"2017: projections leak less than J on AB/SEX and A/RAC1P in all anchors, but matched local controls do the same; no coalition-specific signal. E_J_C_k6 person-weighted residence 0.0159 vs J 0.0171.",EXPLORATORY,a56bcc7ff7a122a6411ac3072b11b00b75f4cdad,results/pcrl_competitive_method_v1/EXPLORATORY_2017.json,rows,ACS 2017 spent partition (exploratory),none (no intervals),k6 unw residence 0.0187 vs 0.0189; pw deficit 0.0012 exceeds the .001 margin at the point estimate,Hypothesis for a fresh prospective evaluation only; does not rescue the 2018 verdict; 2016 untouched.,sec:study5 2017
S5-12,Amendment 4 (ref_J as decision comparator) was declared after 2018 panel intervals were computed; identity check FAILED on 3 cells with established cause; verdict identical under both.,REPORTED (post-outcome amendment),a56bcc7ff7a122a6411ac3072b11b00b75f4cdad,results/pcrl_competitive_method_v1/RUN_STATUS.md; VALIDATION.md,Amendment 4,ACS 2018 (development; pools used repeatedly),n/a,"ref_A0 max diff 4.52e-4 (1 cell), ref_J 3.09e-3 (2 cells)",Unchanged verdict does not erase the timing.,sec:study5
S5-13,The Track E projection is the utility-free infinite-penalty limit of the existing residual spectral eigensystem applied to a frozen channel; not new eigenvalue mathematics. Rank-deficient case did not arise.,SUPPORTED (algebra + measurement),a56bcc7ff7a122a6411ac3072b11b00b75f4cdad,results/pcrl_competitive_method_v1/METHOD.md; TRACK_E_FITS.json,METHOD 2.5; supported_rank,ACS 2018 (development; pools used repeatedly),none,supported rank 16/16 in 204/204 fits; 0 dropped directions in 6 whitenings,"Stationarity holds only for fixed cross-fitted offset, same masks, no free intercept, linear family; does not cover partial nominees.",sec:study5; app:mathv5
S6-01,A width-2 channel R appended beside a fixed J adds capability on a label-free proxy (residual teacher reconstruction).,SUPPORTED (proxy only),ba531ab424c593fe8573cd320d2bcef379907cf1,results/pcrl_utility_extension_v1/PILOT_SCREEN.json,recon_reduction_by_anchor,ACS 2018 (development; pools used repeatedly),"none (point-estimate screening thresholds; nothing nominated, so no adjusted intervals)",mean reduction 0.111-0.451; 14 of 14 configurations pass the >=10%-in->=2-anchors leg,"Reconstruction is a proxy, not residence transfer. Label-free is NOT neutral: the target is the residual of A0, the unprotected channel with the largest sensitive recovery here, so proxy gains can be bought with sensitive-correlated directions.",abstract (v); sec:study6
S6-02,No configuration held the added sensitive recovery over J within the declared .001-nat screen.,NOT ESTABLISHED (pilot FAIL),ba531ab424c593fe8573cd320d2bcef379907cf1,results/pcrl_utility_extension_v1/PILOT_SCREEN.json,increments_vs_J; mean/anchor legs re-derived,ACS 2018 (development; pools used repeatedly),"none (point-estimate screening thresholds; nothing nominated, so no adjusted intervals)","0 of 14 pass; closest X_r2_L2_b030 worst mean +0.0016 unweighted / +0.0021 person-weighted, vs a .001 screen; also fails the .003 per-anchor leg","Point-estimate screen; one family, r=2, three anchors, one budget. Not a proof that no extension of J can pass.",sec:study6; tab:s6pilot
S6-03,Capability and added disclosure were not separable by the adversarial term at any beta tried.,SUPPORTED (within this family),ba531ab424c593fe8573cd320d2bcef379907cf1,results/pcrl_utility_extension_v1/PILOT_SCREEN.json,per-policy beta sweep,ACS 2018 (development; pools used repeatedly),"none (point-estimate screening thresholds; nothing nominated, so no adjusted intervals)","both capability and worst sensitive increment fall monotonically in beta for C1, L1 and L2; unprotected control has the most of both (0.451 capability, +0.036 worst)",Descriptive monotonicity over four beta values; not a general law. Does not isolate a cause: 'the A0-residual objective itself rewarded sensitive information' is a live alternative to 'no extension of J in this family separates them'.,sec:study6; fig:s6pilot
S6-04,Coalition conditioning beat the strength-matched local control in the extension mechanism.,NOT ESTABLISHED,ba531ab424c593fe8573cd320d2bcef379907cf1,results/pcrl_utility_extension_v1/PILOT_SCREEN.json,X_r2_C1_b030 vs X_r2_L2_b030,ACS 2018 (development; pools used repeatedly),"none (point-estimate screening thresholds; nothing nominated, so no adjusted intervals)",C1 worst +0.0049 vs L2 worst +0.0016 at matched beta=30,Third mechanism family reproducing the pattern.,sec:study6
S6-05,The completed 372-slot evidence contains a utility-first candidate.,NONE (exploratory reanalysis),ba531ab424c593fe8573cd320d2bcef379907cf1,results/pcrl_utility_extension_v1/TIER1_REANALYSIS.json,per_config (124 configurations),ACS 2018 (development; pools used repeatedly),adjusted for the new search family m = 2480; the old m = 3900 adjustment was not reused,"0 pass vs J, 0 vs leace_A0, 0 both (recounted); 55 of 124 have a residence point estimate better than J under both weightings; closest are A0-channel releases with worst sensitive upper bounds ~0.04-0.08",Exploratory re-scoring of stored evidence; does not change Study 5 verdict or rules.,sec:study6
S6-06,A stronger attacker was found for the extension audit.,NOT ESTABLISHED,ba531ab424c593fe8573cd320d2bcef379907cf1,results/pcrl_utility_extension_v1/CALIBRATION.json,decision.per_recipe,ACS 2018 (development; pools used repeatedly),frozen adoption rule declared before calibration,"0 of 8 prespecified recipes beat the standard slate; standard slate retained; positive control passes (+0.032 A/SEX, +0.051 A/RAC1P over H)","Never state as ""survived a stronger attack""; same outcome as Study 5 by a different instrument.",sec:study6
S6-07,"Study 6 Tier 3 (93 further slots) and Tier 4 (nominee comparison, 2017 transport) results.",NOT TRIGGERED,ba531ab424c593fe8573cd320d2bcef379907cf1,results/pcrl_utility_extension_v1/TIER_STATUS.md; gates/T2.json,tier ladder,n/a,n/a,pilot gate FAIL closed the ladder; no partial Tier-3 grid fitted; 42 of the cumulative 135 planned slots exist,"Absent evidence for an unrun design, not missing evidence for a claimed one. Nothing follows about r in {4,8}.",sec:study6; app:study6
S6-08,"Release integrity of the extension: H and Z_J preserved, R uses only A-side inputs.",SUPPORTED (structural),ba531ab424c593fe8573cd320d2bcef379907cf1,results/pcrl_utility_extension_v1/VALIDATION.md,parity and inference-input checks,ACS 2018 (development; pools used repeatedly),none (exact equality),"H_A, H_B, Z_J byte-identical per unit and pool; 42 fitted / 42 audited (41 distinct + 1 duplicate); 0 quarantines; 0 probability-integrity failures; routed-ancestor check 1848 comparisons, 0 rejected",Cross-fitted residual targets are training artifacts and are not reachable at inference.,sec:study6; app:study6
S6-09,Appending R cannot reduce optimal population utility or optimal sensitive recovery.,SUPPORTED (elementary),ba531ab424c593fe8573cd320d2bcef379907cf1,results/pcrl_utility_extension_v1/METHOD.md,"section 1, inclusion fact",population statement,n/a,"Bayes risk under (H_A,Z_J,R) <= that under (H_A,Z_J) for any target",A deterministic append is never privacy amplification; measured decreases are finite-learner artefacts.,sec:study6; sec:limits
S6-10,Audits reproduce across architectures.,FAILED ITS TOLERANCE (disclosed),ba531ab424c593fe8573cd320d2bcef379907cf1,results/pcrl_utility_extension_v1/CALIBRATION.json,audit_portability_max_abs vs tol 0.003,ACS 2018 (development; pools used repeatedly),n/a,"max abs 0.0031 (ref_J, seeds 1-2, both weightings); deterministic parts reproduce to 5e-9 or exactly","Refit noise, not a release defect; all Study 6 comparisons use same-host references; do not difference against earlier published audits finer than ~0.003 nats.",sec:limits; app:study6
S6-11,"Study 6 audit slate contained an in-slate untouched-J predictor, as its method text promised.","REFUTED (disclosed, not repaired)",4de62f318,results/pcrl_stochastic_channel_v1/VERIFICATION.md,section A,ACS 2018 (source review; no refit),n/a,"slate routed H-only ancestors and audited ref_J as a separate condition; no candidate read [H_A, Z_J] while ignoring R","Bias flatters the release; the fix can only raise measured increments, making the screen harder. No historical result is re-derived.",sec:study6; sec:limits
S6-12,Study 6 training penalty measures incremental disclosure.,NARROWED (mixes baseline slack),4de62f318,results/pcrl_stochastic_channel_v1/VERIFICATION.md; CONSTANT_CHANNEL_DIAGNOSTIC.json,section B,ACS-free diagnostic,n/a,a constant (non-disclosing) extension still registers a positive gain; statistic is one-sided; magnitude decays 0.96 -> 0.00004 nats as the frozen baseline is trained 10 -> 3000 steps,"Affects interpretation of beta, not audited leakage. Magnitude in the study is unmeasured, not estimated.",sec:study6; sec:limits
G0-01,A .001-nat confirmation claim is not demonstrable at this sample size for any mechanism.,NOT ADOPTED AS STATED (see G0_REVIEW.md),4de62f318,results/pcrl_stochastic_channel_v1/gates/G0.json,headline; conclusion,ACS 2018 development pools,"paired-household bootstrap, one-sided adjusted bounds over the nonlinear-rank family (544 sensitive rows)","arithmetic reproduces exactly (min adjusted half-width 0.0021988, min unadjusted 0.0014115, fraction >.001 = 1.00); required SE is 0.000608 unadjusted / 0.000394 adjusted vs smallest observed 0.000858 (1.41x / 2.18x)","The paired SE is mechanism-dependent, not fixed by household count; 60 of 320 sensitive rows in Study 5 family P have SE exactly 0 (bitwise-identical releases). Defensible version: a .001 confirmation requires a release so close to J that the demonstration is uninteresting. A correction to an interpretation, not a result.",not in the PDF; review package only
